InitialTime;FinalTime;InitialTorque;FinalTorque;TorqueDiff;DeltaT;ThroughZero
32332,485;32332,720;17,69999999999999;7,199999999999989;10,5;-44,68085106371912;0
32338,165;32338,405;5,4599999999999795;15,769999999999982;10,310000000000002;42,958333333698;0
32338,410;32338,645;15,20999999999998;4,189999999999998;11,019999999999982;-46,89361702116037;0
32339,345;32339,715;12,589999999999975;-0,6500000000000341;13,240000000000009;-35,78378378388232;1
32340,065;32340,335;4,189999999999998;14,759999999999991;10,569999999999993;39,14814814808482;0
32340,525;32340,805;11,529999999999973;46,94999999999999;35,420000000000016;126,500000000526;0
32340,810;32341,035;45,46999999999997;21,379999999999995;24,089999999999975;-107,06666666735902;0
32341,040;32341,250;22,44999999999999;35,289999999999964;12,839999999999975;61,142857143111236;0
32341,255;32341,510;35,20999999999998;12,439999999999998;22,769999999999982;-89,29411764797598;0
32341,515;32341,735;13,480000000000018;31,120000000000005;17,639999999999986;80,18181818139382;0
32341,740;32341,975;30,039999999999964;12,5;17,539999999999964;-74,63829787331086;0
32342,200;32342,430;20,0;6,439999999999998;13,560000000000002;-58,95652173924235;0
32350,470;32350,740;-0,5300000000000296;14,860000000000014;15,390000000000043;56,999999999908;0
32350,945;32351,200;8,089999999999975;20,45999999999998;12,370000000000005;48,50980392137487;0
32351,650;32351,871;18,099999999999966;7,689999999999998;10,409999999999968;-47,10407239867375;0
32353,430;32353,655;14,449999999999989;4,339999999999975;10,110000000000014;-44,933333333624;0
32354,066;32354,295;8,159999999999968;20,670000000000016;12,510000000000048;54,62882096085164;0
32354,515;32354,730;13,579999999999984;24,74000000000001;11,160000000000025;51,90697674415103;0
32354,735;32355,265;23,779999999999973;0,30000000000001137;23,47999999999996;-44,301886792550064;1
32356,290;32356,350;6,259999999999991;28,49000000000001;22,230000000000018;370,5000000143776;0
32356,565;32356,766;36,55000000000001;21,819999999999993;14,730000000000018;-73,28358208921277;0
32356,770;32356,975;23,389999999999986;38,46999999999997;15,079999999999984;73,56097561043484;0
32356,981;32357,245;37,64999999999998;11,409999999999968;26,24000000000001;-99,39393939423528;0
32357,865;32358,246;13,819999999999993;-0,29000000000002046;14,110000000000014;-37,03412073514298;1
32387,756;32387,996;4,139999999999986;14,620000000000005;10,480000000000018;43,66666666703741;0
32389,466;32389,686;15,930000000000007;4,539999999999964;11,390000000000043;-51,77272727245351;0
32392,101;32392,356;7,71999999999997;19,789999999999964;12,069999999999993;47,333333333144225;0
32392,816;32393,061;17,170000000000016;5,759999999999991;11,410000000000025;-46,57142857093077;0
32394,006;32394,231;6,0;16,899999999999977;10,899999999999977;48,44444444475766;0
32395,942;32396,191;5,610000000000014;15,740000000000009;10,129999999999995;40,682730923728045;0
32396,912;32397,161;7,75;19,480000000000018;11,730000000000018;47,10843373497838;0
32397,166;32397,387;18,45999999999998;7,579999999999984;10,879999999999995;-49,230769231274905;0
32397,392;32397,631;8,110000000000014;18,120000000000005;10,009999999999991;41,88284518803967;0
32459,643;32459,853;27,620000000000005;14,670000000000016;12,949999999999989;-61,66666666692301;0
32460,253;32460,458;20,110000000000014;33,19;13,079999999999984;63,80487804936921;0
32460,463;32460,663;31,75;19,71999999999997;12,03000000000003;-60,14999999978132;0
32461,473;32461,678;16,339999999999975;27,120000000000005;10,78000000000003;52,585365854143944;0
32461,683;32461,898;26,069999999999993;12,199999999999989;13,870000000000005;-64,5116279069331;0
32462,098;32462,313;20,730000000000018;9,139999999999986;11,590000000000032;-53,90697674506186;0
32462,733;32462,948;14,0;26,560000000000002;12,560000000000002;58,41860465112326;0
32463,143;32463,368;20,569999999999993;38,94999999999999;18,379999999999995;81,6888888894172;0
32463,373;32463,578;37,50999999999999;23,610000000000014;13,899999999999977;-67,8048780482028;0
32463,583;32463,793;25,189999999999998;39,73000000000002;14,54000000000002;69,23809523718374;0
32463,798;32464,003;37,93000000000001;16,120000000000005;21,810000000000002;-106,39024390153278;0
32464,008;32464,238;16,96999999999997;28,680000000000007;11,710000000000036;50,913043478357665;0
32464,243;32464,438;27,519999999999982;16,71999999999997;10,800000000000011;-55,38461538469811;0
32464,443;32464,653;18,529999999999973;35,69;17,160000000000025;81,71428571462557;0
32464,658;32464,863;34,379999999999995;18,349999999999966;16,03000000000003;-78,19512195055357;0
32464,868;32465,093;19,46999999999997;31,20999999999998;11,740000000000009;52,17777777727163;0
32465,098;32465,303;30,19999999999999;16,829999999999984;13,370000000000005;-65,21951219572382;0
32466,148;32466,363;16,96999999999997;31,71999999999997;14,75;68,60465116274426;0
32466,368;32466,573;30,49000000000001;17,779999999999973;12,710000000000036;-61,99999999947205;0
32466,578;32466,808;18,920000000000016;30,269999999999982;11,349999999999966;49,34782608705004;0
32466,813;32467,008;29,120000000000005;18,730000000000018;10,389999999999986;-53,28205128113669;0
32467,013;32467,233;20,430000000000007;39,139999999999986;18,70999999999998;85,04545454500443;0
32467,238;32467,438;37,31999999999999;21,50999999999999;15,810000000000002;-79,05000000115034;0
32467,443;32467,663;22,819999999999993;33,98000000000002;11,160000000000025;50,72727272700441;0
32467,668;32467,883;32,839999999999975;17,730000000000018;15,109999999999957;-70,27906976739409;0
32467,888;32468,103;19,189999999999998;31,99000000000001;12,800000000000011;59,534883720889994;0
32468,503;32468,748;31,80000000000001;14,839999999999975;16,960000000000036;-69,22448979620633;0
32468,938;32469,143;21,80000000000001;11,029999999999973;10,770000000000039;-52,53658536540633;0
32469,148;32469,413;12,050000000000011;35,420000000000016;23,370000000000005;88,18867924547675;0
32469,418;32469,628;34,5;20,99000000000001;13,509999999999991;-64,33333333360076;0
32469,634;32469,848;22,519999999999982;35,80000000000001;13,28000000000003;62,05607476531721;0
32470,063;32470,273;25,939999999999998;36,45999999999998;10,519999999999982;50,095238094578455;0
32470,279;32470,493;35,420000000000016;19,610000000000014;15,810000000000002;-73,8785046729173;0
32470,498;32470,699;20,829999999999984;31,95999999999998;11,129999999999995;55,37313432810162;0
32470,703;32470,923;31,45999999999998;17,69999999999999;13,759999999999991;-62,545454546157806;0
32470,928;32471,163;18,560000000000002;33,81999999999999;15,259999999999991;64,93617021260508;0
32471,168;32471,374;32,73000000000002;19,189999999999998;13,54000000000002;-65,72815534034451;0
32471,378;32471,569;20,74000000000001;31,639999999999986;10,899999999999977;57,06806282755545;0
32471,573;32471,793;30,810000000000002;15,310000000000002;15,5;-70,45454545417263;0
32471,798;32472,043;16,349999999999966;35,01999999999998;18,670000000000016;76,2040816318384;0
